id,GlobalDockQ,Rank
7QWV_A_7QWV_B,0.82,001
7QWV_A_7QWV_B,0.82,002
7QWV_A_7QWV_B,0.78,003
7QWV_A_7QWV_B,0.16,004
7QWV_A_7QWV_B,0.17,005
7UDJ_authH_7UDJ_authG,0.4,001
7UDJ_authH_7UDJ_authG,0.36,002
7UDJ_authH_7UDJ_authG,0.38,003
7UDJ_authH_7UDJ_authG,0.39,004
7UDJ_authH_7UDJ_authG,0.36,005
7UE2_A_7UE2_B,0.4,001
7UE2_A_7UE2_B,0.04,002
7UE2_A_7UE2_B,0.05,003
7UE2_A_7UE2_B,0.05,004
7UE2_A_7UE2_B,0.05,005
7UI8_A_7UI8_B,0.83,001
7UI8_A_7UI8_B,0.83,002
7UI8_A_7UI8_B,0.84,003
7UI8_A_7UI8_B,0.84,004
7UI8_A_7UI8_B,0.84,005
7YC2_C_7YC2_E,0.5,001
7YC2_C_7YC2_E,0.44,002
7YC2_C_7YC2_E,0.47,003
7YC2_C_7YC2_E,0.51,004
7YC2_C_7YC2_E,0.38,005
8ARN_A_8ARN_C,0.92,001
8ARN_A_8ARN_C,0.45,002
8ARN_A_8ARN_C,0.45,003
8ARN_A_8ARN_C,0.48,004
8ARN_A_8ARN_C,0.05,005
8BQ3_A_8BQ3_B,0.85,001
8BQ3_A_8BQ3_B,0.85,002
8BQ3_A_8BQ3_B,0.85,003
8BQ3_A_8BQ3_B,0.87,004
8BQ3_A_8BQ3_B,0.85,005
8BRH_A_8BRH_B,0.81,001
8BRH_A_8BRH_B,0.82,002
8BRH_A_8BRH_B,0.83,003
8BRH_A_8BRH_B,0.79,004
8BRH_A_8BRH_B,0.83,005
8BUW_AB_8BUW_C,0.11,001
8BUW_AB_8BUW_C,0.29,002
8BUW_AB_8BUW_C,0.31,003
8BUW_AB_8BUW_C,0.11,004
8BUW_AB_8BUW_C,0.29,005
8CBP_A_8CBP_C,0.32,001
8CBP_A_8CBP_C,0.11,002
8CBP_A_8CBP_C,0.12,003
8CBP_A_8CBP_C,0.16,004
8CBP_A_8CBP_C,0.37,005
8FG6_B_8FG6_A,0.73,001
8FG6_B_8FG6_A,0.73,002
8FG6_B_8FG6_A,0.73,003
8FG6_B_8FG6_A,0.75,004
8FG6_B_8FG6_A,0.75,005
8G4Y_A_8G4Y_B,0.03,001
8G4Y_A_8G4Y_B,0.04,002
8G4Y_A_8G4Y_B,0.02,003
8G4Y_A_8G4Y_B,0.02,004
8G4Y_A_8G4Y_B,0.04,005
8GAL_A_8GAL_B,0.78,001
8GAL_A_8GAL_B,0.78,002
8GAL_A_8GAL_B,0.76,003
8GAL_A_8GAL_B,0.78,004
8GAL_A_8GAL_B,0.75,005
8GJG_A_8GJG_B,0.6,001
8GJG_A_8GJG_B,0.65,002
8GJG_A_8GJG_B,0.56,003
8GJG_A_8GJG_B,0.55,004
8GJG_A_8GJG_B,0.66,005
8GJI_A_8GJI_B,0.71,001
8GJI_A_8GJI_B,0.7,002
8GJI_A_8GJI_B,0.73,003
8GJI_A_8GJI_B,0.71,004
8GJI_A_8GJI_B,0.72,005
8HDJ_B_8HDJ_A,0.87,001
8HDJ_B_8HDJ_A,0.88,002
8HDJ_B_8HDJ_A,0.87,003
8HDJ_B_8HDJ_A,0.85,004
8HDJ_B_8HDJ_A,0.86,005
8HIB_authAauthBauthV_8HIB_D,0.16,001
8HIB_authAauthBauthV_8HIB_D,0.17,002
8HIB_authAauthBauthV_8HIB_D,0.16,003
8HIB_authAauthBauthV_8HIB_D,0.17,004
8HIB_authAauthBauthV_8HIB_D,0.39,005
8I3G_A_8I3G_D,0.28,001
8I3G_A_8I3G_D,0.27,002
8I3G_A_8I3G_D,0.08,003
8I3G_A_8I3G_D,0.08,004
8I3G_A_8I3G_D,0.05,005
8IA4_AB_8IA4_authQ,0.18,001
8IA4_AB_8IA4_authQ,0.18,002
8IA4_AB_8IA4_authQ,0.17,003
8IA4_AB_8IA4_authQ,0.19,004
8IA4_AB_8IA4_authQ,0.17,005
8IVZ_A_8IVZ_C,0.51,001
8IVZ_A_8IVZ_C,0.57,002
8IVZ_A_8IVZ_C,0.5,003
8IVZ_A_8IVZ_C,0.52,004
8IVZ_A_8IVZ_C,0.57,005
8J5U_A_8J5U_B,0.58,001
8J5U_A_8J5U_B,0.59,002
8J5U_A_8J5U_B,0.81,003
8J5U_A_8J5U_B,0.68,004
8J5U_A_8J5U_B,0.59,005
8JJ9_A_8JJ9_C,0.87,001
8JJ9_A_8JJ9_C,0.85,002
8JJ9_A_8JJ9_C,0.87,003
8JJ9_A_8JJ9_C,0.85,004
8JJ9_A_8JJ9_C,0.87,005
8JZD_A_8JZD_B,0.85,001
8JZD_A_8JZD_B,0.87,002
8JZD_A_8JZD_B,0.87,003
8JZD_A_8JZD_B,0.56,004
8JZD_A_8JZD_B,0.55,005
8PEF_A_8PEF_B,0.11,001
8PEF_A_8PEF_B,0.09,002
8PEF_A_8PEF_B,0.13,003
8PEF_A_8PEF_B,0.12,004
8PEF_A_8PEF_B,0.13,005
8QLM_A_8QLM_C,0.2,001
8QLM_A_8QLM_C,0.26,002
8QLM_A_8QLM_C,0.28,003
8QLM_A_8QLM_C,0.23,004
8QLM_A_8QLM_C,0.2,005
8RTE_A_8RTE_authD,0.93,001
8RTE_A_8RTE_authD,0.9,002
8RTE_A_8RTE_authD,0.9,003
8RTE_A_8RTE_authD,0.92,004
8RTE_A_8RTE_authD,0.93,005
8S6A_A_8S6A_authP,0.35,001
8S6A_A_8S6A_authP,0.61,002
8S6A_A_8S6A_authP,0.49,003
8S6A_A_8S6A_authP,0.39,004
8S6A_A_8S6A_authP,0.39,005
8S6O_AKM_8S6O_B,0.05,001
8S6O_AKM_8S6O_B,0.06,002
8S6O_AKM_8S6O_B,0.05,003
8S6O_AKM_8S6O_B,0.06,004
8S6O_AKM_8S6O_B,0.07,005
8S6U_AauthQ_8S6U_C,0.1,001
8S6U_AauthQ_8S6U_C,0.23,002
8S6U_AauthQ_8S6U_C,0.24,003
8S6U_AauthQ_8S6U_C,0.16,004
8S6U_AauthQ_8S6U_C,0.29,005
8SAO_authB_8SAO_A,0.66,001
8SAO_authB_8SAO_A,0.17,002
8SAO_authB_8SAO_A,0.2,003
8SAO_authB_8SAO_A,0.19,004
8SAO_authB_8SAO_A,0.17,005
8T5E_A_8T5E_B,0.73,001
8T5E_A_8T5E_B,0.73,002
8T5E_A_8T5E_B,0.73,003
8T5E_A_8T5E_B,0.73,004
8T5E_A_8T5E_B,0.73,005
8TEE_A_8TEE_C,0.68,001
8TEE_A_8TEE_C,0.69,002
8TEE_A_8TEE_C,0.68,003
8TEE_A_8TEE_C,0.68,004
8TEE_A_8TEE_C,0.7,005
8TG8_A_8TG8_B,0.16,001
8TG8_A_8TG8_B,0.15,002
8TG8_A_8TG8_B,0.18,003
8TG8_A_8TG8_B,0.17,004
8TG8_A_8TG8_B,0.13,005
8U1Z_A_8U1Z_B,0.1,001
8U1Z_A_8U1Z_B,0.09,002
8U1Z_A_8U1Z_B,0.08,003
8U1Z_A_8U1Z_B,0.09,004
8U1Z_A_8U1Z_B,0.08,005
8UC6_authB_8UC6_authE,0.15,001
8UC6_authB_8UC6_authE,0.13,002
8UC6_authB_8UC6_authE,0.14,003
8UC6_authB_8UC6_authE,0.13,004
8UC6_authB_8UC6_authE,0.15,005
8UH1_A_8UH1_B,0.91,001
8UH1_A_8UH1_B,0.91,002
8UH1_A_8UH1_B,0.92,003
8UH1_A_8UH1_B,0.93,004
8UH1_A_8UH1_B,0.9,005
8VGC_AB_8VGC_authP,0.4,001
8VGC_AB_8VGC_authP,0.4,002
8VGC_AB_8VGC_authP,0.39,003
8VGC_AB_8VGC_authP,0.38,004
8VGC_AB_8VGC_authP,0.38,005
8WKD_A_8WKD_authC,0.83,001
8WKD_A_8WKD_authC,0.83,002
8WKD_A_8WKD_authC,0.83,003
8WKD_A_8WKD_authC,0.77,004
8WKD_A_8WKD_authC,0.69,005
8WU8_A_8WU8_D,0.68,001
8WU8_A_8WU8_D,0.73,002
8WU8_A_8WU8_D,0.68,003
8WU8_A_8WU8_D,0.73,004
8WU8_A_8WU8_D,0.4,005
8Y1U_A_8Y1U_B,0.83,001
8Y1U_A_8Y1U_B,0.82,002
8Y1U_A_8Y1U_B,0.8,003
8Y1U_A_8Y1U_B,0.77,004
8Y1U_A_8Y1U_B,0.19,005
8Y47_A_8Y47_B,0.83,001
8Y47_A_8Y47_B,0.87,002
8Y47_A_8Y47_B,0.87,003
8Y47_A_8Y47_B,0.13,004
8Y47_A_8Y47_B,0.34,005
8YM2_A_8YM2_B,0.59,001
8YM2_A_8YM2_B,0.49,002
8YM2_A_8YM2_B,0.6,003
8YM2_A_8YM2_B,0.58,004
8YM2_A_8YM2_B,0.52,005
8YWB_AauthD_8YWB_B,0.17,001
8YWB_AauthD_8YWB_B,0.14,002
8YWB_AauthD_8YWB_B,0.17,003
8YWB_AauthD_8YWB_B,0.16,004
8YWB_AauthD_8YWB_B,0.16,005
8ZLZ_B_8ZLZ_authD,0.37,001
8ZLZ_B_8ZLZ_authD,0.34,002
8ZLZ_B_8ZLZ_authD,0.33,003
8ZLZ_B_8ZLZ_authD,0.33,004
8ZLZ_B_8ZLZ_authD,0.32,005
9BD3_A_9BD3_B,0.07,001
9BD3_A_9BD3_B,0.1,002
9BD3_A_9BD3_B,0.1,003
9BD3_A_9BD3_B,0.1,004
9BD3_A_9BD3_B,0.09,005
9CC5_A_9CC5_B,0.64,001
9CC5_A_9CC5_B,0.64,002
9CC5_A_9CC5_B,0.63,003
9CC5_A_9CC5_B,0.58,004
9CC5_A_9CC5_B,0.64,005
9CC6_A_9CC6_B,0.9,001
9CC6_A_9CC6_B,0.9,002
9CC6_A_9CC6_B,0.9,003
9CC6_A_9CC6_B,0.89,004
9CC6_A_9CC6_B,0.21,005
9DD3_A_9DD3_B,0.92,001
9DD3_A_9DD3_B,0.91,002
9DD3_A_9DD3_B,0.91,003
9DD3_A_9DD3_B,0.91,004
9DD3_A_9DD3_B,0.54,005
9EXT_A_9EXT_authD,0.02,001
9EXT_A_9EXT_authD,0.39,002
9EXT_A_9EXT_authD,0.49,003
9EXT_A_9EXT_authD,0.01,004
9EXT_A_9EXT_authD,0.42,005
9F6S_A_9F6S_B,0.45,001
9F6S_A_9F6S_B,0.49,002
9F6S_A_9F6S_B,0.43,003
9F6S_A_9F6S_B,0.45,004
