rxn	rxn_kegg	ec_code	ec_codes	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes	uniprot	catalytic_enzyme	warning_ec	warning_enz	kcat	db	penalty_score	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_id_percent	kcat_organism_score
FUM	R01082	4.2.1.2	4.2.1.2	reverse	L-Malate	C00149	Fumarate;H2O H2O	C00122;C00001	b1612	P0AC33	P0AC33			3100.0	sabio_rk	0.0	L-Malate	Escherichia coli	P0AC33	25.0	7.5	wildtype	100.0	0.0
MDH	R00342	1.1.1.37	1.1.1.299;1.1.1.37	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Oxaloacetate	C00080;C00004;C00036	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	b3236	P61889	P61889			931.0	brenda	0.0	oxaloacetate	Escherichia coli	P61889	30.0	7.5	wildtype	100.0	0.0
ICDHyr	R00267	1.1.1.42	1.1.1.42	forward	Isocitrate;Nicotinamide adenine dinucleotide phosphate	C00311;C00006	2-Oxoglutarate;CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced	C00026;C00011;C00005	b1136	P08200	P08200			467.0	sabio_rk	0.0	Isocitrate;NADP+	Escherichia coli	P08200	40.0	7.5	wildtype	100.0	0.0
PGM	R01518	5.4.2.1	5.4.2.1;5.4.2.11;5.4.2.12	reverse	3-Phospho-D-glycerate	C00197	D-Glycerate 2-phosphate	C00631	b0755	P62707	P62707	transferred		330.0	sabio_rk	0.0	3-Phospho-D-glycerate	Escherichia coli	P62707	30.0	7.0	wildtype	100.0	0.0
G6PDH2r	R00835	1.1.1.49	1.1.1.363;1.1.1.49	forward	D-Glucose 6-phosphate;Nicotinamide adenine dinucleotide phosphate	C00092;C00006	6-phospho-D-glucono-1,5-lactone;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C01236;C00080;C00005	b1852	P0AC53	P0AC53			288.0	sabio_rk	0.0	NAD+;D-Glucose 6-phosphate	Escherichia coli	P0AC53	25.0	8.0	wildtype	100.0	0.0
PTAr	R00230	2.3.1.8	2.3.1.8	reverse	Acetyl phosphate;Coenzyme A	C00227;C00010	Acetyl-CoA;Phosphate	C00024;C00009	b2297	P0A9M8	P0A9M8			227.0	brenda	0.0	acetyl phosphate	Escherichia coli	P0A9M8	30.0	8.0	wildtype	100.0	0.0
PGM	R01518	5.4.2.1	5.4.2.1;5.4.2.11;5.4.2.12	forward	D-Glycerate 2-phosphate	C00631	3-Phospho-D-glycerate	C00197	b0755	P62707	P62707	transferred		220.0	sabio_rk	0.0	2-Phospho-D-glycerate	Escherichia coli	P62707	30.0	7.0	wildtype	100.0	0.0
PYK	R00200	2.7.1.40	2.7.1.40	forward	ADP C10H12N5O10P2;H+;Phosphoenolpyruvate	C00008;C00080;C00074	ATP C10H12N5O13P3;Pyruvate	C00002;C00022	b1676	P0AD61	P0AD61			160.0	sabio_rk	0.0	ADP;Phosphoenolpyruvate	Escherichia coli	P0AD61	25.0	7.5	wildtype	100.0	0.0
CS	R00351	2.3.3.16	2.3.3.1;2.3.3.16;2.3.3.3	forward	Acetyl-CoA;H2O H2O;Oxaloacetate	C00024;C00001;C00036	Citrate;Coenzyme A;H+	C00158;C00010;C00080	b0720	P0ABH7	P0ABH7			81.0	sabio_rk	0.0	Acetyl-CoA;Oxaloacetate;H2O	Escherichia coli	P0ABH7	21.0	7.8	wildtype	100.0	0.0
FBA	R01068	4.1.2.13	4.1.2.13	forward	D-Fructose 1,6-bisphosphate	C00354	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	b2925	P0AB71	P0AB71			30.3333	sabio_rk	0.0	D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB71	30.0	8.0	wildtype	100.0	0.0
FBP		3.1.3.11	3.1.3.11	forward	D-Fructose 1,6-bisphosphate;H2O H2O	C00354;C00001	D-Fructose 6-phosphate;Phosphate	C05345;C00009	b4232	P0A993	P0A993			26.0	sabio_rk	0.0	D-Fructose 1,6-bisphosphate;H2O	Escherichia coli	P0A993	22.0	7.5	wildtype	100.0	0.0
PGM	R01518	5.4.2.1	5.4.2.1;5.4.2.11;5.4.2.12	reverse	3-Phospho-D-glycerate	C00197	D-Glycerate 2-phosphate	C00631	b3612	P37689	P37689	transferred		22.0	sabio_rk	0.0	3-Phospho-D-glycerate	Escherichia coli	P37689	30.0	7.0	wildtype	100.0	0.0
GLUDy	R00248	1.4.1.4	1.4.1.13;1.4.1.3;1.4.1.4	forward	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	b1761	P00370	P00370			17.1	brenda	0.0	L-glutamate	Escherichia coli	P00370	22.0	8.0	wildtype	100.0	0.0
ICDHyr	R00267	1.1.1.42	1.1.1.42	reverse	2-Oxoglutarate;CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced	C00026;C00011;C00005	Isocitrate;Nicotinamide adenine dinucleotide phosphate	C00311;C00006	b1136	P08200	P08200			14.9	sabio_rk	0.0	2-Oxoglutarate;H+;NADPH;CO2	Escherichia coli	P08200	21.0	7.3	wildtype	100.0	0.0
PGM	R01518	5.4.2.1	5.4.2.1;5.4.2.11;5.4.2.12	forward	D-Glycerate 2-phosphate	C00631	3-Phospho-D-glycerate	C00197	b3612	P37689	P37689	transferred		10.0	sabio_rk	0.0	2-Phospho-D-glycerate	Escherichia coli	P37689	30.0	7.0	wildtype	100.0	0.0
FBA	R01068	4.1.2.13	4.1.2.13	forward	D-Fructose 1,6-bisphosphate	C00354	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	b2097	P0A991	P0A991			3.1667	sabio_rk	0.0	D-Fructose 1,6-bisphosphate	Escherichia coli	P0A991	30.0	8.0	wildtype	100.0	0.0
FBA	R01068	4.1.2.13	4.1.2.13	reverse	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	D-Fructose 1,6-bisphosphate	C00354	b2925	P0AB71	P0AB71			2.8333	sabio_rk	0.0	D-Glyceraldehyde 3-phosphate;Glycerone phosphate	Escherichia coli	P0AB71	30.0	8.0	wildtype	100.0	0.0
PPCK	R00341	4.1.1.49	4.1.1.49	forward	ATP C10H12N5O13P3;Oxaloacetate	C00002;C00036	ADP C10H12N5O10P2;CO2 CO2;Phosphoenolpyruvate	C00008;C00011;C00074	b3403	P22259	P22259			0.433	brenda	0.0	oxaloacetate	Escherichia coli	P22259	25.0	7.5	wildtype	100.0	0.0
ACKr	R00315	2.7.2.1	2.7.2.1;2.7.2.15	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b2296	P0A6A3	P0A6A3			3600.0	brenda	1.0	acetyl phosphate	Escherichia coli	P0A6A3	25.0	7.5		100.0	0.0
ACKr	R00315	2.7.2.1	2.7.2.1;2.7.2.15	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b2296	P0A6A3	P0A6A3			3062.9021	brenda	1.0	acetate	Escherichia coli	P0A6A3	32.5	7.5		100.0	0.0
FUM	R01082	4.2.1.2	4.2.1.2	forward	Fumarate;H2O H2O	C00122;C00001	L-Malate	C00149	b1611	P05042	P05042			1149.0	sabio_rk	1.0	Fumarate;H2O	Escherichia coli	P05042		7.9	wildtype	100.0	0.0
FUM	R01082	4.2.1.2	4.2.1.2	reverse	L-Malate	C00149	Fumarate;H2O H2O	C00122;C00001	b1611	P05042	P05042			595.2	sabio_rk	1.0	L-Malate	Escherichia coli	P05042		7.9	wildtype	100.0	0.0
PFK		2.7.1.11	2.7.1.11	forward	ATP C10H12N5O13P3;D-Fructose 6-phosphate	C00002;C05345	ADP C10H12N5O10P2;D-Fructose 1,6-bisphosphate;H+	C00008;C00354;C00080	b3916	P0A796	P0A796			88.0	brenda	1.0	fructose 6-phosphate	Escherichia coli	P0A796	30.0	7.2		100.0	0.0
PDH	R00209	1.2.4.1	1.2.1.51;1.2.4.1;1.8.1.4;2.3.1.12	forward	Coenzyme A;Nicotinamide adenine dinucleotide;Pyruvate	C00010;C00003;C00022	Acetyl-CoA;CO2 CO2;Nicotinamide adenine dinucleotide - reduced	C00024;C00011;C00004	b0114;b0115;b0116	P0AFG8;P0A9P0;P06959	P0AFG8			37.9	brenda	1.0	pyruvate	Escherichia coli	P0AFG8	30.0		wildtype	100.0	0.0
SUCOAS	R00405	6.2.1.5	6.2.1.5	forward	ATP C10H12N5O13P3;Coenzyme A;Succinate	C00002;C00010;C00042	ADP C10H12N5O10P2;Phosphate;Succinyl-CoA	C00008;C00009;C00091	b0728;b0729	P0A836;P0AGE9	P0A836;P0AGE9		multiple	14.3	brenda	1.0	succinate	Escherichia coli K-12	P0AGE9	30.0	7.4			0.0
PPC	R00345	4.1.1.31	4.1.1.31	forward	CO2 CO2;H2O H2O;Phosphoenolpyruvate	C00011;C00001;C00074	H+;Oxaloacetate;Phosphate	C00080;C00036;C00009	b3956	P00864	P00864			540.0	brenda	2.0	phosphoenolpyruvate	Escherichia coli	P00864			wildtype	100.0	0.0
GAPD	R01061	1.2.1.12	1.2.1.12;1.2.1.59	forward	Glyceraldehyde 3-phosphate;Nicotinamide adenine dinucleotide;Phosphate	C00661;C00003;C00009	3-Phospho-D-glyceroyl phosphate;H+;Nicotinamide adenine dinucleotide - reduced	C00236;C00080;C00004	b1779	P0A9B2	P0A9B2			268.0	sabio_rk	2.0	D-Glyceraldehyde 3-phosphate;NAD+;Phosphate	Escherichia coli	P0A9B2	22.0	8.9	wildtype	100.0	0.0
PFK		2.7.1.11	2.7.1.11	forward	ATP C10H12N5O13P3;D-Fructose 6-phosphate	C00002;C05345	ADP C10H12N5O10P2;D-Fructose 1,6-bisphosphate;H+	C00008;C00354;C00080	b1723	P06999	P06999			61.0	sabio_rk	2.0	D-Fructose 6-phosphate;ATP	Escherichia coli	P06999	25.0	8.2	wildtype	100.0	0.0
GLNS	R00253	6.3.1.2	6.3.1.2	forward	ATP C10H12N5O13P3;L-Glutamate;Ammonium	C00002;C00025;C00014	ADP C10H12N5O10P2;L-Glutamine;H+;Phosphate	C00008;C00064;C00080;C00009	b3870	P0A9C5	P0A9C5			50.0	sabio_rk	2.0	L-Glutamate;NH3;ATP	Escherichia coli	P0A9C5			wildtype	100.0	0.0
FBP		3.1.3.11	3.1.3.11	forward	D-Fructose 1,6-bisphosphate;H2O H2O	C00354;C00001	D-Fructose 6-phosphate;Phosphate	C05345;C00009	b3925	P0A9C9	P0A9C9			5.7	brenda	2.0	D-fructose 1,6-bisphosphate	Escherichia coli	P0A9C9	37.0	9.0	wildtype	100.0	0.0
GLUN	R00256	3.5.1.2	1.4.1.13;1.4.7.1;3.5.1.2;3.5.1.38;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	P77454	P77454			101.0	brenda	3.0	L-glutamine	Escherichia coli	P77454				100.0	0.0
GLUN	R00256	3.5.1.2	1.4.1.13;1.4.7.1;3.5.1.2;3.5.1.38;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	P0A6W0	P0A6W0			101.0	brenda	3.0	L-glutamine	Escherichia coli	P0A6W0				100.0	0.0
FUM	R01082	4.2.1.2	4.2.1.2	reverse	L-Malate	C00149	Fumarate;H2O H2O	C00122;C00001	b4122	P14407	P14407			3100.0	sabio_rk	3.0	L-Malate	Escherichia coli	P0AC33	25.0	7.5	wildtype	82.36	0.0
GAPD	R01061	1.2.1.12	1.2.1.12;1.2.1.59	reverse	3-Phospho-D-glyceroyl phosphate;H+;Nicotinamide adenine dinucleotide - reduced	C00236;C00080;C00004	Glyceraldehyde 3-phosphate;Nicotinamide adenine dinucleotide;Phosphate	C00661;C00003;C00009	b1779	P0A9B2	P0A9B2			0.074	sabio_rk	3.0	NADH;H+;Glycerate 1,3-bisphosphate	Escherichia coli	P0A9B6	25.0	7.0	wildtype	33.2	0.0
PYK	R00200	2.7.1.40	2.7.1.40	forward	ADP C10H12N5O10P2;H+;Phosphoenolpyruvate	C00008;C00080;C00074	ATP C10H12N5O13P3;Pyruvate	C00002;C00022	b1854	P21599	P21599			160.0	sabio_rk	3.0	ADP;Phosphoenolpyruvate	Escherichia coli	P0AD61	25.0	7.5	wildtype	31.03	0.0
PGM	R01518	5.4.2.11	5.4.2.1;5.4.2.11;5.4.2.12	reverse	3-Phospho-D-glycerate	C00197	D-Glycerate 2-phosphate	C00631	b4395	P0A7A2	P0A7A2			330.0	sabio_rk	3.0	3-Phospho-D-glycerate	Escherichia coli	P62707	30.0	7.0	wildtype	24.66	0.0
PGM	R01518	5.4.2.11	5.4.2.1;5.4.2.11;5.4.2.12	forward	D-Glycerate 2-phosphate	C00631	3-Phospho-D-glycerate	C00197	b4395	P0A7A2	P0A7A2			220.0	sabio_rk	3.0	2-Phospho-D-glycerate	Escherichia coli	P62707	30.0	7.0	wildtype	24.66	0.0
FBA	R01068	4.1.2.13	4.1.2.13	forward	D-Fructose 1,6-bisphosphate	C00354	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	b1773	P77704	P77704			30.3333	sabio_rk	3.0	D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB71	30.0	8.0	wildtype	24.41	0.0
FBA	R01068	4.1.2.13	4.1.2.13	reverse	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	D-Fructose 1,6-bisphosphate	C00354	b1773	P77704	P77704			2.8333	sabio_rk	3.0	D-Glyceraldehyde 3-phosphate;Glycerone phosphate	Escherichia coli	P0AB71	30.0	8.0	wildtype	24.41	0.0
GLUN	R00256	6.3.5.5	1.4.1.13;1.4.7.1;3.5.1.2;3.5.1.38;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	P05041	P05041			5.6	sabio_rk	3.0	H2O;Hydrogencarbonate;ATP;L-Glutamine	Escherichia coli	P0A6F1;P00968;P00968	25.0	7.6	wildtype	23.52	0.0
FBA	R01068	4.1.2.13	4.1.2.13	reverse	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	D-Fructose 1,6-bisphosphate	C00354	b2097	P0A991	P0A991			2.8333	sabio_rk	3.0	D-Glyceraldehyde 3-phosphate;Glycerone phosphate	Escherichia coli	P0AB71	30.0	8.0	wildtype	23.52	0.0
