rxn	rxn_kegg	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes	uniprot	catalytic_enzyme	warning_ec	warning_enz	kcat	penalty_score	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_db	kcat_id_percent	kcat_organism_score	processed
PFK		2.7.1.11	forward	ATP C10H12N5O13P3;D-Fructose 6-phosphate	C00002;C05345	ADP C10H12N5O10P2;D-Fructose 1,6-bisphosphate;H+	C00008;C00354;C00080	b3916	P0A796	P0A796			88.0	1	fructose 6-phosphate	Escherichia coli	P0A796	30.0	7.2		brenda	100.0	0	True
PFK		2.7.1.11	forward	ATP C10H12N5O13P3;D-Fructose 6-phosphate	C00002;C05345	ADP C10H12N5O10P2;D-Fructose 1,6-bisphosphate;H+	C00008;C00354;C00080	b1723	P06999	P06999			61.0	2	D-Fructose 6-phosphate;ATP	Escherichia coli	P06999	25.0	8.2	wildtype	sabio_rk	100.0	0	True
PFL	R00212	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b0902;b0903;b2579	P68066;P0A9N4;P09373	P09373			12.8	6	pyruvate	Escherichia coli					brenda		0	True
PFL	R00212	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b0902;b0903	P0A9N4;P09373	P09373			12.8	6	pyruvate	Escherichia coli					brenda		0	True
PFL	R00212	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b0902;b3114	P42632;P0A9N4	P42632			12.8	6	pyruvate	Escherichia coli					brenda		0	True
PFL	R00212	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b3951;b3952	P32674;P32675			none	12.8	6	pyruvate	Escherichia coli					brenda		0	True
PGI		5.3.1.9	forward	D-Glucose 6-phosphate	C00092	D-Fructose 6-phosphate	C05345	b4025	P0A6T1	P0A6T1			1000.0	5	D-glucose 6-phosphate	Homo sapiens	P06744	30.0	7.5	wildtype	brenda	51.22950819672131	8	True
PGI		5.3.1.9	reverse	D-Fructose 6-phosphate	C05345	D-Glucose 6-phosphate	C00092	b4025	P0A6T1	P0A6T1			650.0	5	D-fructose 6-phosphate	Homo sapiens	P06744	30.0	7.5	wildtype	brenda	51.22950819672131	8	True
PGK	R01512	2.7.2.3	forward	3-Phospho-D-glycerate;ATP C10H12N5O13P3	C00197;C00002	3-Phospho-D-glyceroyl phosphate;ADP C10H12N5O10P2	C00236;C00008	b2926	P0A799	P0A799			1480.0	4	ATP;3-Phospho-D-glycerate	Escherichia coli		22.0		wildtype	sabio_rk		0	True
PGK	R01512	2.7.2.3	reverse	3-Phospho-D-glyceroyl phosphate;ADP C10H12N5O10P2	C00236;C00008	3-Phospho-D-glycerate;ATP C10H12N5O13P3	C00197;C00002	b2926	P0A799	P0A799			33.13333	5	ADP;3-Phospho-D-glyceroyl phosphate	Rattus norvegicus	P16617	30.0	6.9	wildtype	sabio_rk	32.45469522240527	8	True
PGL	R02035	3.1.1.31	forward	6-phospho-D-glucono-1,5-lactone;H2O H2O	C01236;C00001	6-Phospho-D-gluconate;H+	C00345;C00080	b0767	P52697	P52697			14.3	5	6-Phospho-D-glucono-1,5-lactone;H2O	Bos taurus	Q2TBQ8	25.0	7.4	wildtype	sabio_rk	21.694214876033058	8	True
ACALD	R00228	1.2.1.10	forward	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	b0351	P77580	P77580			15.7	4	acetaldehyde	Escherichia coli		25.0	8.0		brenda		0	True
ACALD	R00228	1.2.1.10	reverse	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	b0351	P77580	P77580			15.7	8	acetaldehyde	Escherichia coli		25.0	8.0		brenda		0	True
ACALD	R00228	1.2.1.10	forward	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	b1241	P0A9Q7	P0A9Q7			15.7	4	acetaldehyde	Escherichia coli		25.0	8.0		brenda		0	True
ACALD	R00228	1.2.1.10	reverse	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	b1241	P0A9Q7	P0A9Q7			15.7	8	acetaldehyde	Escherichia coli		25.0	8.0		brenda		0	True
AKGt2r			forward	2-Oxoglutarate;H+	C00026;C00080	2-Oxoglutarate;H+	C00026;C00080	b2587	P0AEX3	P0AEX3	missing			16										True
AKGt2r			reverse	2-Oxoglutarate;H+	C00026;C00080	2-Oxoglutarate;H+	C00026;C00080	b2587	P0AEX3	P0AEX3	missing			16										True
PGM	R01518	5.4.2.1	forward	D-Glycerate 2-phosphate	C00631	3-Phospho-D-glycerate	C00197	b3612	P37689	P37689	transferred		10.0	0	2-Phospho-D-glycerate	Escherichia coli	P37689	30.0	7.0	wildtype	sabio_rk	100.0	0	True
